Tecnologia,Tópicos totais,Tópicos última semana
javascript,2513778,1751
python,2166341,2696
java,1907824,1102
c#,1603387,929
php,1462532,565
android,1410667,745
html,1181427,705
jquery,1034591,141
c++,799987,494
css,798797,538
ios,683703,306
sql,665926,416
mysql,661542,285
r,498002,597
node.js,467753,571
reactjs,467475,1053
arrays,415064,181
c,399818,279
asp.net,373904,115
json,358421,242
python-3.x,341436,336
ruby-on-rails,337431,86
.net,334349,254
sql-server,332330,218
swift,330373,260
django,309547,281
angular,300033,360
objective-c,292423,54
pandas,283503,283
excel,282527,265
angularjs,262741,70
regex,259273,134
ruby,228498,65
linux,226343,222
typescript,222989,510
ajax,221941,50
